md5sum	size	simple	outskirt	width	info_round	info	dof_round	dof
daf98da7e4ea4fb608c089b8cb2fe6be	15	40	45	42	38	31	41	32
d270f57cd8222df48c8ff4d3999faf90	10	27	25	21	21	16	19	19
e1d4cd6bd6aa294d3261beb2403a0530	15	54	50	50	42	38	43	37
4f692bf261c4156f6ef67b958db5d495	10	28	26	29	29	20	29	24
c566c055877051b0d973d94667214f05	15	50	50	51	48	37	51	36
c04c8aa7a28387385a540b0b043015ca	10	29	29	26	24	16	22	18
ad49f05fb8557f4c582ccd0df4ad3d19	10	30	21	28	27	17	23	21
8cb36e46d769c5af61249711fe096b20	10	15	21	21	18	14	19	15
59530cfd707c958cc2d6f4862c701a51	10	53	49	47	49	42	46	40
608ce7aef4e4e887d3c0eecec67ef16a	10	37	30	32	32	27	31	21
85dc05ac527a01620dda6bd9cd2cddf7	10	37	33	34	35	27	33	22
be885598920bfb89908ed3f37232bf70	10	39	37	38	35	30	37	30
ad72525b3181c7c1833d693e0165ab50	10	34	37	35	31	25	34	22
3654fd845f6529817f9df02f82a789cd	10	40	33	39	37	27	36	28
431e01159210c2571e4773d3e61671c8	10	44	41	41	46	31	45	33
84ff392dcb5f0b81f915cde654d9a061	10	38	37	37	37	28	38	28
12270e26f944db12aeb4d49d3c7099d9	10	35	38	34	36	31	36	33
413645179d327e178c4a0bc5f9bb17dc	10	31	31	34	31	23	31	30
812d647ec1d476662dff8bb327ed036c	10	33	36	32	33	29	35	26
1af34ab863971f946988dc5a4905d969	10	41	39	36	35	24	36	27
c4783ec1bbbb01117a4f61a38ad5a129	10	32	29	30	29	24	28	24
d1a2b5b2bfb7b4274ff89bcc43c76048	10	27	31	30	29	22	29	28
7498a3d23437dab994abcb8fe7684495	10	23	23	28	26	18	21	18
2776d04468d1f2cc542913f6c7eb56bd	10	18	24	21	20	19	20	18
bb8a4ce2608a12146e361c8e9540e5b6	10	22	26	22	25	23	23	22
2e93ca28997c3eb6e15f3cd40e9973a6	10	19	23	21	21	16	21	17
